email,first_name,company_name,website,category,personalization,pitch_subject
info@salemghosts.com,Salem Ghosts Team,Salem Ghost Tours,https://salemghosts.com/,Tour Operator,"our detailed research on the Witch House Howard Street Cemetery and Joshua Ward House",Salem partnership opportunity
info@ghostsofgettysburg.com,Gettysburg Ghosts Team,Gettysburg Ghost Tours,https://www.ghostsofgettysburg.com/,Tour Operator,"our researched pages on Gettysburg with full Civil War historical context",Gettysburg haunted places partnership
info@staugustineghost.com,St Augustine Ghost Team,St Augustine Ghost Tours,https://www.ghostsandgravestones.com/st-augustine,Tour Operator,"our detailed research on America's oldest city and its paranormal history",St. Augustine partnership
info@charlestonghosttour.com,Charleston Ghost Team,Charleston Ghost Tours,https://www.bulldog-tours.com/charleston-ghost-tours/,Tour Operator,"our researched pages on Charleston's haunted locations",Charleston haunted places partnership
media@visitsavannah.com,Visit Savannah Team,Visit Savannah,https://www.visitsavannah.com/,Tourism Board,"your information about ghost tours and haunted attractions - we have researched pages on Mercer-Williams House Colonial Park Cemetery Moon River Brewing",Resource for Savannah's haunted attractions
media@neworleans.com,New Orleans CVB Team,New Orleans CVB,https://www.neworleans.com/,Tourism Board,"your ghost tours and unique attractions pages",Resource for New Orleans paranormal attractions
media@salem.org,Destination Salem Team,Destination Salem,https://www.salem.org/,Tourism Board,"your Haunted Salem page - we have deep research on witch trials locations",Resource for Salem's haunted history
media@visitstaugustine.com,Visit St Augustine Team,Visit St. Augustine,https://www.visitstaugustine.com/,Tourism Board,"your ghost tours and haunted history pages",Resource for St. Augustine's paranormal attractions
media@charlestoncvb.com,Charleston CVB Team,Charleston CVB,https://www.charlestoncvb.com/,Tourism Board,"your tourism resources - we cover Charleston's haunted locations with verified research",Resource for Charleston's haunted attractions
media@visitsanantonio.com,Visit San Antonio Team,Visit San Antonio,https://www.visitsanantonio.com/,Tourism Board,"your unique attractions pages - we have researched content on San Antonio's haunted places including the Alamo",Resource for San Antonio's haunted attractions
media@destinationgettysburg.com,Destination Gettysburg Team,Destination Gettysburg,https://www.destinationgettysburg.com/,Tourism Board,"your Civil War and battlefield tourism pages - we have detailed paranormal research with historical context",Resource for Gettysburg's haunted attractions
media@exploreasheville.com,Explore Asheville Team,Explore Asheville,https://www.exploreasheville.com/,Tourism Board,"your unique attractions pages - we cover Asheville's haunted locations including the Grove Park Inn",Resource for Asheville's haunted attractions
media@visitnc.com,Visit NC Team,Visit North Carolina,https://www.visitnc.com/,Tourism Board,"your unique attractions pages - we have 51 verified North Carolina haunted locations",Resource for North Carolina's haunted attractions
media@visitma.com,Visit MA Team,Visit Massachusetts,https://www.visitma.com/,Tourism Board,"your Salem and haunted attractions pages",Resource for Massachusetts haunted attractions
